Count;Z measurement
1;5,5939
2;5,5939
3;5,5939
4;5,5939
5;5,5939
6;5,5939
7;5,5939
8;5,5939
9;5,5939
10;5,5939
11;5,5939
12;5,5939
13;5,5939
14;5,5939
15;5,5939
16;5,5939
17;5,5939
18;5,5939
19;5,5939
20;5,5939
21;5,5933
22;5,5939
23;5,5939
24;5,5939
25;5,5939
26;5,5944
27;5,5939
28;5,5939
29;5,5939
30;5,5939
31;5,5939
32;5,5939
33;5,5944
34;5,5939
35;5,5939
36;5,5939
37;5,5939
38;5,5939
39;5,5944
40;5,5944
41;5,5939
42;5,5939
43;5,5944
44;5,5944
45;5,5939
46;5,5944
47;5,5944
48;5,5944
49;5,5944
50;5,5944
51;5,5944
52;5,5944
53;5,5944
54;5,5944
55;5,5944
56;5,5944
57;5,5944
58;5,5944
59;5,5944
60;5,5944
61;5,5944
62;5,5944
63;5,5944
64;5,5944
65;5,5944
66;5,5944
67;5,5944
68;5,5944
69;5,5944
70;5,5950
71;5,5944
72;5,5944
73;5,5944
74;5,5944
75;5,5944
76;5,5944
77;5,5944
78;5,5944
79;5,5944
80;5,5944
81;5,5944
82;5,5944
83;5,5950
84;5,5944
85;5,5944
86;5,5950
87;5,5944
88;5,5944
89;5,5944
90;5,5950
91;5,5950
92;5,5950
93;5,5950
94;5,5950
95;5,5950
96;5,5950
97;5,5950
98;5,5950
99;5,5950
100;5,5950
101;5,5950
102;5,5950
103;5,5950
104;5,5944
105;5,5950
106;5,5950
107;5,5950
108;5,5950
109;5,5950
110;5,5950
111;5,5950
112;5,5950
113;5,5950
114;5,5950
115;5,5950
116;5,5950
117;5,5950
118;5,5956
119;5,5950
120;5,5950
121;5,5956
122;5,5956
123;5,5956
124;5,5956
125;5,5950
126;5,5950
127;5,5956
128;5,5950
129;5,5950
130;5,5956
131;5,5950
132;5,5956
133;5,5950
134;5,5956
135;5,5956
136;5,5956
137;5,5956
138;5,5950
139;5,5950
140;5,5956
141;5,5950
142;5,5956
143;5,5956
144;5,5956
145;5,5956
146;5,5950
147;5,5956
148;5,5950
149;5,5956
150;5,5956
151;5,5956
152;5,5962
153;5,5956
154;5,5956
155;5,5956
156;5,5956
157;5,5956
158;5,5956
159;5,5956
160;5,5956
161;5,5956
162;5,5956
163;5,5956
164;5,5956
165;5,5962
166;5,5956
167;5,5962
168;5,5962
169;5,5956
170;5,5956
171;5,5956
172;5,5956
173;5,5956
174;5,5956
175;5,5956
176;5,5956
177;5,5956
178;5,5956
179;5,5956
180;5,5962
181;5,5956
182;5,5956
183;5,5956
184;5,5962
185;5,5956
186;5,5962
187;5,5956
188;5,5962
189;5,5962
190;5,5956
191;5,5962
192;5,5962
193;5,5956
194;5,5956
195;5,5956
196;5,5956
197;5,5962
198;5,5956
199;5,5962
200;5,5962
201;5,5962
202;5,5956
203;5,5962
204;5,5962
